"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2024-04-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  47.4","13","  47.2","13","9999.9"," 0","999.9"," 0","  3.8","13"," 12.4","13"," 17.1"," 28.9","  50.0","*","  46.4","*","99.99"," ","999.9","010000"
"01001499999","2024-04-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  47.9","13","  47.9","13","9999.9"," 0","999.9"," 0","  5.3","13","  8.2","13"," 11.1","999.9","  50.0","*","  46.4","*","99.99"," ","999.9","110000"
"01001499999","2024-04-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.0"," 9","  42.0"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  7.1"," 9"," 13.0","999.9","  48.2","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2024-04-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.2","14","  32.4","14","9999.9"," 0","999.9"," 0","  6.2","14"," 13.6","14"," 20.0"," 22.9","  50.0","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-04-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.4","14","  36.6","14","9999.9"," 0","999.9"," 0","  6.2","12","  8.1","12"," 14.0","999.9","  50.0","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2024-04-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.0","13","  38.2","13","9999.9"," 0","999.9"," 0","  6.2","13","  8.1","13"," 11.1","999.9","  48.2","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2024-04-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.8","14","  31.7","14","9999.9"," 0","999.9"," 0","  6.2","14","  8.1","14"," 14.0","999.9","  46.4","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-04-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.0","14","  34.6","14","9999.9"," 0","999.9"," 0","  6.2","14","  9.4","14"," 15.9","999.9","  42.8","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-04-21","59.791925","5.34085","48.76","SORSTOKKEN, NO","  49.2"," 9","  28.6"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  6.3"," 9","  9.9","999.9","  51.8","*","  44.6","*"," 0.00","I","999.9","000000"
"01001499999","2024-04-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.2","13","  29.6","13","9999.9"," 0","999.9"," 0","  6.2","13","  4.5","13","  7.0","999.9","  50.0","*","  35.6","*"," 0.00","I","999.9","000000"
"01001499999","2024-04-23","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.1","14","  32.1","13","9999.9"," 0","999.9"," 0","  6.2","14"," 17.9","14"," 22.9"," 29.9","  48.2","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-04-24","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.7","14","  31.1","14","9999.9"," 0","999.9"," 0","  6.2","14"," 12.8","14"," 22.0","999.9","  46.4","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2024-04-25","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.4","14","  34.1","14","9999.9"," 0","999.9"," 0","  6.2"," 9","  5.3","14","  9.9","999.9","  50.0","*","  35.6","*"," 0.00","I","999.9","000000"
